omega,mu
8983.354916,4.05E-02
8984.078813,4.73E-02
8984.72651,5.61E-02
8985.298007,6.77E-02
8985.793305,8.30E-02
8986.212404,1.03E-01
8986.555302,1.28E-01
8986.822001,1.54E-01
8987.0125,1.76E-01
8987.1268,1.91E-01
8987.1649,1.96E-01
8987.2649,2.09E-01
8987.3649,2.21E-01
8987.403024,2.26E-01
8987.507798,2.38E-01
8987.631623,2.52E-01
8987.774497,2.66E-01
8987.936421,2.80E-01
8988.117396,2.94E-01
8988.31742,3.07E-01
8988.536494,3.20E-01
8988.774618,3.32E-01
8989.031792,3.44E-01
8989.308016,3.56E-01
8989.603289,3.69E-01
8989.917613,3.82E-01
8990.250987,3.96E-01
8990.60341,4.12E-01
8990.974884,4.29E-01
8991.365407,4.50E-01
8991.77498,4.74E-01
8992.203603,5.04E-01
8992.651277,5.39E-01
8993.118,5.81E-01
8993.603773,6.30E-01
8994.108595,6.85E-01
8994.632468,7.41E-01
8995.175391,7.92E-01
8995.737364,8.32E-01
8996.318386,8.62E-01
8996.918459,8.86E-01
8997.537581,9.09E-01
8998.175753,9.34E-01
8998.832976,9.61E-01
8999.509248,9.91E-01
9000.20457,1.02E+00
9000.918942,1.05E+00
9001.652364,1.08E+00
9002.404836,1.10E+00
9003.176357,1.11E+00
9003.966929,1.11E+00
9004.776551,1.11E+00
9005.605222,1.11E+00
9006.452944,1.11E+00
9007.319715,1.11E+00
9008.205536,1.11E+00
9009.110408,1.11E+00
9010.034329,1.12E+00
9010.9773,1.13E+00
9011.939321,1.14E+00
9012.920392,1.15E+00
9013.920512,1.17E+00
9014.939683,1.19E+00
9015.977904,1.21E+00
9017.035174,1.22E+00
9018.111495,1.22E+00
9019.206865,1.20E+00
9020.321286,1.18E+00
9021.454756,1.14E+00
9022.607276,1.10E+00
9023.778846,1.05E+00
9024.969466,1.01E+00
9026.179136,9.73E-01
9027.407856,9.44E-01
9028.655626,9.22E-01
9029.922445,9.06E-01
9031.208315,8.94E-01
9032.513235,8.86E-01
9033.837204,8.84E-01
9035.180223,8.88E-01
9036.542293,8.98E-01
9037.923412,9.13E-01
9039.323581,9.30E-01
9040.7428,9.47E-01
9042.181069,9.61E-01
9043.638388,9.70E-01
9045.114757,9.76E-01
9046.610175,9.78E-01
